Entity,Code,Year,Renewables per capita (kWh - equivalent)
Asia,,2017,1523.7968
Asia,,2018,1648.0782
Asia,,2019,1792.573
Asia,,2020,1895.0168
Asia,,2021,2064.8718
Australia,AUS,1965,2084.9104
Australia,AUS,1966,1951.7324
Australia,AUS,1967,1982.8727
Australia,AUS,1968,2029.5337
Australia,AUS,1969,2166.213
Australia,AUS,1970,2453.9646
Australia,AUS,1971,2683.3438
Australia,AUS,1972,2635.7896
Australia,AUS,1973,2768.2363
Australia,AUS,1974,3091.466
Australia,AUS,1975,3282.53
Australia,AUS,1976,3091.437
Australia,AUS,1977,2918.1782
Australia,AUS,1978,3112.8635
Australia,AUS,1979,2992.9883
Australia,AUS,1980,2791.2866
Australia,AUS,1981,2832.694
Australia,AUS,1982,2598.0852
Australia,AUS,1983,2419.8884
Australia,AUS,1984,2581.6687
Australia,AUS,1985,2703.5623
Australia,AUS,1986,2681.848
Australia,AUS,1987,2568.1492
Australia,AUS,1988,2706.073
Australia,AUS,1989,2663.2573
Australia,AUS,1990,2702.2617
Australia,AUS,1991,2813.9583
Australia,AUS,1992,2823.9597
Australia,AUS,1993,2872.3596
Australia,AUS,1994,2810.7288
Australia,AUS,1995,2718.3853
Australia,AUS,1996,2763.9421
Australia,AUS,1997,2741.2332
Australia,AUS,1998,2705.3374
Australia,AUS,1999,2766.3467
Australia,AUS,2000,2737.6848
Australia,AUS,2001,2645.2124
Australia,AUS,2002,2708.4856
Australia,AUS,2003,2773.6526
Australia,AUS,2004,2845.223
Australia,AUS,2005,3015.9136
Australia,AUS,2006,3042.29
Australia,AUS,2007,2875.3574
Australia,AUS,2008,2653.844
Australia,AUS,2009,2732.027
Australia,AUS,2010,2955.301
Australia,AUS,2011,3965.6511
Australia,AUS,2012,3844.2534
Australia,AUS,2013,4383.149
Australia,AUS,2014,3982.348
Australia,AUS,2015,4223.8315
Australia,AUS,2016,4771.693
Australia,AUS,2017,4392.792
Australia,AUS,2018,5387.0273
Australia,AUS,2019,5879.9614
Australia,AUS,2020,6698.305
Australia,AUS,2021,7927.8887
Austria,AUT,1965,6541.6733
Austria,AUT,1966,7000.156
Austria,AUT,1967,7095.3643
Austria,AUT,1968,7253.062
Austria,AUT,1969,6645.0854
Austria,AUT,1970,8432.793
Austria,AUT,1971,6632.8647
Austria,AUT,1972,6777.8687
Austria,AUT,1973,7489.612
Austria,AUT,1974,8840.264
Austria,AUT,1975,9286.367
Austria,AUT,1976,8040.218
Austria,AUT,1977,9739.236
Austria,AUT,1978,9754.929
Austria,AUT,1979,11007.9
Austria,AUT,1980,11404.694
Austria,AUT,1981,12055.418
Austria,AUT,1982,12066.638
Austria,AUT,1983,11972.639
Austria,AUT,1984,10503.83
Austria,AUT,1985,12432.113
Austria,AUT,1986,12619.191
Austria,AUT,1987,14200.748
Austria,AUT,1988,14206.123
Austria,AUT,1989,14077.761
Austria,AUT,1990,12618.306
Austria,AUT,1991,12503.519
Austria,AUT,1992,13695.004
Austria,AUT,1993,14292.989
Austria,AUT,1994,13802.449
Austria,AUT,1995,14555.035
Austria,AUT,1996,13369.734
Austria,AUT,1997,14113.504
Austria,AUT,1998,14552.546
Austria,AUT,1999,15740.055
Austria,AUT,2000,16102.9
Austria,AUT,2001,15538.107
Austria,AUT,2002,15239.779
Austria,AUT,2003,12701.796
Austria,AUT,2004,14131.729
Austria,AUT,2005,14443.221
Austria,AUT,2006,14549.552
Austria,AUT,2007,15380.897
Austria,AUT,2008,15813.775
Austria,AUT,2009,16734.557
Austria,AUT,2010,15875.842
Austria,AUT,2011,14400.96
Austria,AUT,2012,17651.035
Austria,AUT,2013,17106.18
Austria,AUT,2014,16927.83
Austria,AUT,2015,15991.775
Austria,AUT,2016,16670.883
Austria,AUT,2017,16378.961
Austria,AUT,2018,15947.219
Austria,AUT,2019,17172.926
Austria,AUT,2020,17194.562
Austria,AUT,2021,17302.5
Azerbaijan,AZE,1985,563.22015
Azerbaijan,AZE,1986,339.3284
Azerbaijan,AZE,1987,333.45038
Azerbaijan,AZE,1988,284.3575
Azerbaijan,AZE,1989,280.96304
Azerbaijan,AZE,1990,660.04224
Azerbaijan,AZE,1991,690.1098
Azerbaijan,AZE,1992,675.98004
Azerbaijan,AZE,1993,926.81555
Azerbaijan,AZE,1994,691.8137
Azerbaijan,AZE,1995,583.2019
Azerbaijan,AZE,1996,571.7488
Azerbaijan,AZE,1997,632.7903
Azerbaijan,AZE,1998,717.4498
Azerbaijan,AZE,1999,549.6828
Azerbaijan,AZE,2000,553.82574
Azerbaijan,AZE,2001,461.48856
Azerbaijan,AZE,2002,704.24695
Azerbaijan,AZE,2003,846.49286
Azerbaijan,AZE,2004,927.8629
Azerbaijan,AZE,2005,995.4846
Azerbaijan,AZE,2006,817.5785
Azerbaijan,AZE,2007,752.89355
Azerbaijan,AZE,2008,696.9179
Azerbaijan,AZE,2009,707.54596
Azerbaijan,AZE,2010,1035.6886
Azerbaijan,AZE,2011,788.716
Azerbaijan,AZE,2012,526.3849
Azerbaijan,AZE,2013,444.81442
Azerbaijan,AZE,2014,391.38443
Azerbaijan,AZE,2015,479.00824
Azerbaijan,AZE,2016,569.2693
Azerbaijan,AZE,2017,504.12286
Azerbaijan,AZE,2018,518.01965
Azerbaijan,AZE,2019,472.18805
Azerbaijan,AZE,2020,340.77127
Azerbaijan,AZE,2021,391.18158
Bangladesh,BGD,1971,7.568028
Bangladesh,BGD,1972,7.4621134
Bangladesh,BGD,1973,13.757338
Bangladesh,BGD,1974,9.850171
Bangladesh,BGD,1975,17.258919
Bangladesh,BGD,1976,19.124786
Bangladesh,BGD,1977,16.537506
Bangladesh,BGD,1978,18.701193
Bangladesh,BGD,1979,21.191452
Bangladesh,BGD,1980,20.540087
Bangladesh,BGD,1981,21.451128
Bangladesh,BGD,1982,17.463715
Bangladesh,BGD,1983,21.50054
Bangladesh,BGD,1984,28.357735
Bangladesh,BGD,1985,22.772358
Bangladesh,BGD,1986,13.540464
Bangladesh,BGD,1987,15.21305
Bangladesh,BGD,1988,19.437046
Bangladesh,BGD,1989,25.93512
Bangladesh,BGD,1990,24.396038
Bangladesh,BGD,1991,22.683018
Bangladesh,BGD,1992,21.153221
Bangladesh,BGD,1993,15.851429
Bangladesh,BGD,1994,21.663038
Bangladesh,BGD,1995,9.338388
Bangladesh,BGD,1996,18.228828
Bangladesh,BGD,1997,17.421244
Bangladesh,BGD,1998,20.56925
Bangladesh,BGD,1999,19.43257
Bangladesh,BGD,2000,17.143183
Bangladesh,BGD,2001,22.155485
Bangladesh,BGD,2002,16.300146
Bangladesh,BGD,2003,15.932255
Bangladesh,BGD,2004,15.590702
Bangladesh,BGD,2005,15.289046
Bangladesh,BGD,2006,15.081977
Bangladesh,BGD,2007,14.901629
Bangladesh,BGD,2008,18.70707
Bangladesh,BGD,2009,8.534723
Bangladesh,BGD,2010,14.6026945
Bangladesh,BGD,2011,17.24435
Bangladesh,BGD,2012,15.822639
Bangladesh,BGD,2013,15.373975
Bangladesh,BGD,2014,12.950812
Bangladesh,BGD,2015,18.850594
Bangladesh,BGD,2016,18.649206
Bangladesh,BGD,2017,21.241657
Bangladesh,BGD,2018,18.57204
Bangladesh,BGD,2019,18.460623
Bangladesh,BGD,2020,17.248169
Bangladesh,BGD,2021,17.634293
Belarus,BLR,1985,5.8362236
Belarus,BLR,1986,5.79706
Belarus,BLR,1987,5.7581506
Belarus,BLR,1988,5.7231154
Belarus,BLR,1989,5.6932936
Belarus,BLR,1990,5.670956
Belarus,BLR,1991,5.08967
Belarus,BLR,1992,4.798521
Belarus,BLR,1993,5.360704
Belarus,BLR,1994,5.3633075
Belarus,BLR,1995,5.6529775
Belarus,BLR,1996,4.5333347
Belarus,BLR,1997,5.9703016
Belarus,BLR,1998,7.993826
Belarus,BLR,1999,5.4502563
Belarus,BLR,2000,7.784205
Belarus,BLR,2001,8.6395235
Belarus,BLR,2002,8.351539
Belarus,BLR,2003,8.067213
Belarus,BLR,2004,9.801392
Belarus,BLR,2005,10.663524
Belarus,BLR,2006,11.019209
Belarus,BLR,2007,14.908505
Belarus,BLR,2008,22.246052
Belarus,BLR,2009,32.795574
Belarus,BLR,2010,40.674553
Belarus,BLR,2011,44.31355
Belarus,BLR,2012,53.346035
Belarus,BLR,2013,68.18216
Belarus,BLR,2014,62.905598
Belarus,BLR,2015,75.07395
Belarus,BLR,2016,97.36532
Belarus,BLR,2017,197.14487
Belarus,BLR,2018,183.51556
Belarus,BLR,2019,225.94438
Belarus,BLR,2020,294.62677
Belarus,BLR,2021,311.0501
Belgium,BEL,1965,85.454025
Belgium,BEL,1966,93.40049
Belgium,BEL,1967,73.961784
Belgium,BEL,1968,75.50082
Belgium,BEL,1969,70.90284
Belgium,BEL,1970,75.5417
Belgium,BEL,1971,40.991146
Belgium,BEL,1972,54.870293
Belgium,BEL,1973,90.04341
Belgium,BEL,1974,108.15762
Belgium,BEL,1975,82.561356
Belgium,BEL,1976,51.595177
Belgium,BEL,1977,148.25104
Belgium,BEL,1978,151.97456
Belgium,BEL,1979,172.9628
Belgium,BEL,1980,181.06688
Belgium,BEL,1981,208.8205
Belgium,BEL,1982,114.789505
Belgium,BEL,1983,107.81675
Belgium,BEL,1984,112.87839
Belgium,BEL,1985,103.01489
Belgium,BEL,1986,140.99358
Belgium,BEL,1987,175.71228
Belgium,BEL,1988,167.35474
Belgium,BEL,1989,154.19757
Belgium,BEL,1990,171.43872
Belgium,BEL,1991,165.74292
Belgium,BEL,1992,188.41626
Belgium,BEL,1993,155.00522
Belgium,BEL,1994,181.92336
Belgium,BEL,1995,203.1431
Belgium,BEL,1996,171.16467
Belgium,BEL,1997,177.59
Belgium,BEL,1998,228.57022
Belgium,BEL,1999,257.24277
Belgium,BEL,2000,313.7752
Belgium,BEL,2001,321.07172
Belgium,BEL,2002,339.7914
Belgium,BEL,2003,356.37997
Belgium,BEL,2004,443.3636
Belgium,BEL,2005,623.0995
Belgium,BEL,2006,866.6062
Belgium,BEL,2007,1014.20276
Belgium,BEL,2008,1275.9727
Belgium,BEL,2009,1693.5216
Belgium,BEL,2010,2203.2627
Belgium,BEL,2011,2668.6846
Belgium,BEL,2012,3178.172
Belgium,BEL,2013,3451.6252
Belgium,BEL,2014,3583.3357
Belgium,BEL,2015,3973.2822
Belgium,BEL,2016,4063.9907
Belgium,BEL,2017,4440.6562
Belgium,BEL,2018,4702.0396
Belgium,BEL,2019,5181.2593
Belgium,BEL,2020,6225.886
Belgium,BEL,2021,6088.8877
Brazil,BRA,1965,891.5651
Brazil,BRA,1966,948.7056
Brazil,BRA,1967,966.2828
Brazil,BRA,1968,985.56366
Brazil,BRA,1969,1028.3989
Brazil,BRA,1970,1250.1486
Brazil,BRA,1971,1329.7871
Brazil,BRA,1972,1527.5406
Brazil,BRA,1973,1692.8794
Brazil,BRA,1974,1864.0214
Brazil,BRA,1975,2001.1499
Brazil,BRA,1976,2237.4683
Brazil,BRA,1977,2492.125
Brazil,BRA,1978,2720.8103
Brazil,BRA,1979,3049.6216
Brazil,BRA,1980,3299.358
Brazil,BRA,1981,3259.768
Brazil,BRA,1982,3488.4758
Brazil,BRA,1983,3730.1501
Brazil,BRA,1984,4046.368
Brazil,BRA,1985,4287.8125
Brazil,BRA,1986,4400.8057
Brazil,BRA,1987,4396.3413
Brazil,BRA,1988,4608.7354
Brazil,BRA,1989,4674.2617
Brazil,BRA,1990,4589.3633
Brazil,BRA,1991,4746.009
Brazil,BRA,1992,4782.6694
Brazil,BRA,1993,4944.632
Brazil,BRA,1994,5044.9556
Brazil,BRA,1995,5189.384
Brazil,BRA,1996,5363.9307
Brazil,BRA,1997,5510.914
Brazil,BRA,1998,5640.361
Brazil,BRA,1999,5603.935
Brazil,BRA,2000,5645.4365
Brazil,BRA,2001,4918.0376
Brazil,BRA,2002,5188.5737
Brazil,BRA,2003,5418.7183
Brazil,BRA,2004,5614.1665
Brazil,BRA,2005,5827.3535
Brazil,BRA,2006,5899.132
Brazil,BRA,2007,6389.071
Brazil,BRA,2008,6441.3804
Brazil,BRA,2009,6773.895
Brazil,BRA,2010,7062.7925
Brazil,BRA,2011,7260.126
Brazil,BRA,2012,7024.382
Brazil,BRA,2013,6822.507
Brazil,BRA,2014,6752.361
Brazil,BRA,2015,6814.485
Brazil,BRA,2016,7087.0425
Brazil,BRA,2017,7065.7515
Brazil,BRA,2018,7492.857
Brazil,BRA,2019,7790.108
Brazil,BRA,2020,7735.5366
Brazil,BRA,2021,7527.198
Bulgaria,BGR,1965,717.2736
Bulgaria,BGR,1966,715.3233
Bulgaria,BGR,1967,714.35455
Bulgaria,BGR,1968,457.305
Bulgaria,BGR,1969,638.7826
Bulgaria,BGR,1970,741.404
Bulgaria,BGR,1971,742.13196
Bulgaria,BGR,1972,712.04425
Bulgaria,BGR,1973,868.16345
Bulgaria,BGR,1974,698.07745
Bulgaria,BGR,1975,818.5891
Bulgaria,BGR,1976,981.18164
Bulgaria,BGR,1977,1167.8446
Bulgaria,BGR,1978,960.21674
Bulgaria,BGR,1979,1090.9425
Bulgaria,BGR,1980,1222.5573
Bulgaria,BGR,1981,1191.5675
Bulgaria,BGR,1982,1005.38763
Bulgaria,BGR,1983,1107.0005
Bulgaria,BGR,1984,1078.337
Bulgaria,BGR,1985,741.8106
Bulgaria,BGR,1986,773.4908
Bulgaria,BGR,1987,846.1637
Bulgaria,BGR,1988,868.7753
Bulgaria,BGR,1989,903.77826
Bulgaria,BGR,1990,633.36755
Bulgaria,BGR,1991,827.596
Bulgaria,BGR,1992,703.7247
Bulgaria,BGR,1993,666.8345
Bulgaria,BGR,1994,507.79388
Bulgaria,BGR,1995,807.12537
Bulgaria,BGR,1996,1027.3848
Bulgaria,BGR,1997,978.9136
Bulgaria,BGR,1998,1112.0667
Bulgaria,BGR,1999,997.3405
Bulgaria,BGR,2000,976.08435
Bulgaria,BGR,2001,635.09955
Bulgaria,BGR,2002,803.0195
Bulgaria,BGR,2003,1109.4668
Bulgaria,BGR,2004,1161.0422
Bulgaria,BGR,2005,1590.8608
Bulgaria,BGR,2006,1560.0916
Bulgaria,BGR,2007,1070.0146
Bulgaria,BGR,2008,1085.29
Bulgaria,BGR,2009,1360.4266
Bulgaria,BGR,2010,2117.8948
Bulgaria,BGR,2011,1442.3175
Bulgaria,BGR,2012,1954.5044
Bulgaria,BGR,2013,2547.4233
Bulgaria,BGR,2014,2728.3748
Bulgaria,BGR,2015,3248.2075
Bulgaria,BGR,2016,2650.6887
Bulgaria,BGR,2017,2301.0183
Bulgaria,BGR,2018,3607.7212
Bulgaria,BGR,2019,2964.059
Bulgaria,BGR,2020,2970.0542
Bulgaria,BGR,2021,3630.1157
Canada,CAN,1965,17735.2
Canada,CAN,1966,19314.93
Canada,CAN,1967,19404.691
Canada,CAN,1968,19426.168
Canada,CAN,1969,21176.963
Canada,CAN,1970,21815.654
Canada,CAN,1971,21947.201
Canada,CAN,1972,24169.7
Canada,CAN,1973,25579.465
Canada,CAN,1974,27307.045
Canada,CAN,1975,25877.21
Canada,CAN,1976,26924.87
Canada,CAN,1977,27593.35
Canada,CAN,1978,29181.08
Canada,CAN,1979,29982.791
Canada,CAN,1980,30466.982
Canada,CAN,1981,31941.865
Canada,CAN,1982,30640.588
Canada,CAN,1983,31271.688
Canada,CAN,1984,33338.023
Canada,CAN,1985,34949.47
Canada,CAN,1986,35399.676
Canada,CAN,1987,35647.203
Canada,CAN,1988,34197.844
Canada,CAN,1989,31931.652
Canada,CAN,1990,32069.762
Canada,CAN,1991,32886.316
Canada,CAN,1992,33385.555
Canada,CAN,1993,33777.547
Canada,CAN,1994,34089.242
Canada,CAN,1995,34510.14
Canada,CAN,1996,36249.355
Canada,CAN,1997,35382.293
Canada,CAN,1998,33455.707
Canada,CAN,1999,34561.805
Canada,CAN,2000,35386.59
Canada,CAN,2001,32493.29
Canada,CAN,2002,33660.78
Canada,CAN,2003,31899.855
Canada,CAN,2004,31677.887
Canada,CAN,2005,33281.12
Canada,CAN,2006,32022.26
Canada,CAN,2007,33001.152
Canada,CAN,2008,33302.664
Canada,CAN,2009,32326.287
Canada,CAN,2010,30724.25
Canada,CAN,2011,32501.492
Canada,CAN,2012,32654.432
Canada,CAN,2013,33052.715
Canada,CAN,2014,31920.246
Canada,CAN,2015,32529.217
Canada,CAN,2016,32722.955
Canada,CAN,2017,32876.574
Canada,CAN,2018,31774.875
Canada,CAN,2019,30961.367
Canada,CAN,2020,30950.818
Canada,CAN,2021,30324.402
Chile,CHL,1965,1299.8345
Chile,CHL,1966,1345.2523
Chile,CHL,1967,1349.0912
Chile,CHL,1968,1110.6427
Chile,CHL,1969,1232.2445
Chile,CHL,1970,1296.856
Chile,CHL,1971,1445.3428
Chile,CHL,1972,1687.9465
Chile,CHL,1973,1620.8188
Chile,CHL,1974,1810.9019
Chile,CHL,1975,1790.6848
Chile,CHL,1976,1827.527
Chile,CHL,1977,1901.8132
Chile,CHL,1978,1951.1671
Chile,CHL,1979,1974.7936
Chile,CHL,1980,2058.4136
Chile,CHL,1981,2100.9978
Chile,CHL,1982,2269.4165
Chile,CHL,1983,2428.879
Chile,CHL,1984,2480.9175
Chile,CHL,1985,2706.0913
Chile,CHL,1986,2866.6726
Chile,CHL,1987,3050.6733
Chile,CHL,1988,2955.2993
Chile,CHL,1989,2452.6738
Chile,CHL,1990,2211.9517
Chile,CHL,1991,3107.1895
Chile,CHL,1992,3995.3022
Chile,CHL,1993,4036.0212
Chile,CHL,1994,3935.5703
Chile,CHL,1995,4192.8433
Chile,CHL,1996,3793.4216
Chile,CHL,1997,4158.113
Chile,CHL,1998,3389.5652
Chile,CHL,1999,2950.3496
Chile,CHL,2000,3961.202
Chile,CHL,2001,4450.167
Chile,CHL,2002,4676.0366
Chile,CHL,2003,4475.8237
Chile,CHL,2004,4178.066
Chile,CHL,2005,4881.9663
Chile,CHL,2006,5195.8013
Chile,CHL,2007,4352.228
Chile,CHL,2008,4786.539
Chile,CHL,2009,4833.6
Chile,CHL,2010,4245.5137
Chile,CHL,2011,4150.789
Chile,CHL,2012,4353.8335
Chile,CHL,2013,4441.6465
Chile,CHL,2014,4721.649
Chile,CHL,2015,5077.6196
Chile,CHL,2016,4842.0093
Chile,CHL,2017,5471.8364
Chile,CHL,2018,6093.0884
Chile,CHL,2019,6111.925
Chile,CHL,2020,6191.467
Chile,CHL,2021,6287.5103
China,CHN,1965,90.26859
China,CHN,1966,89.495544
China,CHN,1967,75.31707
China,CHN,1968,86.66061
China,CHN,1969,85.818375
China,CHN,1970,86.41278
China,CHN,1971,101.9526
China,CHN,1972,112.924576
China,CHN,1973,123.514275
China,CHN,1974,137.0211
China,CHN,1975,140.91653
China,CHN,1976,140.61176
China,CHN,1977,144.72818
China,CHN,1978,133.8227
China,CHN,1979,148.28004
China,CHN,1980,175.2486
China,CHN,1981,194.25414
China,CHN,1982,217.11359
China,CHN,1983,248.2776
China,CHN,1984,245.85036
China,CHN,1985,257.6671
China,CHN,1986,259.40524
China,CHN,1987,269.6542
China,CHN,1988,289.28363
China,CHN,1989,308.64734
China,CHN,1990,325.01965
China,CHN,1991,315.14822
China,CHN,1992,327.04276
China,CHN,1993,376.28372
China,CHN,1994,412.2176
China,CHN,1995,472.0031
China,CHN,1996,456.71677
China,CHN,1997,475.66528
China,CHN,1998,478.8812
China,CHN,1999,470.54813
China,CHN,2000,528.0704
China,CHN,2001,648.48035
China,CHN,2002,665.8629
China,CHN,2003,650.62213
China,CHN,2004,799.40796
China,CHN,2005,895.05786
China,CHN,2006,979.093
China,CHN,2007,1083.9487
China,CHN,2008,1421.8021
China,CHN,2009,1406.6
China,CHN,2010,1641.2845
China,CHN,2011,1635.6511
China,CHN,2012,2034.3783
China,CHN,2013,2203.7427
China,CHN,2014,2564.515
China,CHN,2015,2730.9414
China,CHN,2016,2950.9333
China,CHN,2017,3194.3933
China,CHN,2018,3486.709
China,CHN,2019,3800.2761
China,CHN,2020,4097.609
China,CHN,2021,4590.171
Colombia,COL,1965,573.4036
Colombia,COL,1966,618.8964
Colombia,COL,1967,670.9573
Colombia,COL,1968,727.7727
Colombia,COL,1969,788.5357
Colombia,COL,1970,856.143
Colombia,COL,1971,887.34326
Colombia,COL,1972,960.77185
Colombia,COL,1973,1022.3552
Colombia,COL,1974,1135.3912
Colombia,COL,1975,1255.4252
Colombia,COL,1976,1291.5249
Colombia,COL,1977,1289.4327
Colombia,COL,1978,1453.8987
Colombia,COL,1979,1559.741
Colombia,COL,1980,1659.6871
Colombia,COL,1981,1600.0603
Colombia,COL,1982,1671.1277
Colombia,COL,1983,1646.9178
Colombia,COL,1984,1795.0222
Colombia,COL,1985,1888.4607
Colombia,COL,1986,2133.852
Colombia,COL,1987,2274.2273
Colombia,COL,1988,2347.599
Colombia,COL,1989,2508.1848
Colombia,COL,1990,2520.7388
Colombia,COL,1991,2489.8667
Colombia,COL,1992,1973.2081
Colombia,COL,1993,2415.5269
Colombia,COL,1994,2725.95
