,dt_year,dt_date,country,region,level_of_development,greenhousegas_emissione_mtco2equivalent,total_government_revenue_proportion_of_gdp_perc,fdi_inflows_millionusd,annual_growth_rate_perc,proportion_of_population_with_primary_reliance_on_clean_fuels_a,mortality_rate_perc,renewable_energy_share_on_the_total_energy_consumption,co2emissions_from_fuel_combustion_in_millions_of_tonnes,fossilfuel_subsidies_consumption_and_production_billionusd,randd_expenditure_proportionofgdp_perc,national_action_plans_as_priority_national_policies,number_of_companies_publishing_sustainability_reports,education_for_sustainable_development,enhance_policy_coherence_for_sustainable_development,land_degraded_over_total_land_area,IIASA rates of no education projections (IIASA (2015)),GDP (constant 2015 US$),"Literacy rate, adult total (% of people ages 15 and above)",Annual CO₂ emissions (zero filled),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
0,2002,2002-01-01,Afghanistan,Central and Southern Asia,Least Developed,,,0.68,0.4203443999999999,8.0,,37.83,,,,,,,,,,7228792320.0,,1340995.0,
1,2003,2003-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.1209551,50.0,0.1052487999999999,9.0,,36.66,,,,,,,,,,7867259392.0,,1559602.0,
2,2004,2004-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.1762145,57.8,-0.014901,11.0,,44.24,,,,,,,,,,7978511360.0,,1237247.0,
3,2005,2005-01-01,Afghanistan,Central and Southern Asia,Least Developed,19.32802,0.1809291,186.9,0.0362119,12.0,0.409,33.88,,,,,,,,,,8874475520.0,,1889507.0,100.0
4,2006,2006-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.3022342,271.0,0.0536479,14.0,,31.89,,,,,,,,,,9349916672.0,,2159318.0,
5,2007,2007-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.3664007,238.0,0.1962219,15.0,,28.78,,,,,,,,,,10642666496.0,,2799909.0,
6,2008,2008-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.8791616999999999,188.69,-0.0332298,17.0,,21.17,,,,,,,,,,11060389888.0,,4254477.0,
7,2009,2009-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.7457435,46.034,0.0824243,18.0,,16.53,,,,,,,,,,13426265088.0,,6391888.0,
8,2010,2010-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.8577618,197.513,0.0239831,20.0,0.3779999999999999,15.15,,,,,,,,,,15354604544.0,,8364803.5,100.0
9,2011,2011-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.9579373,54.201,0.03459,22.0,,12.61,,,,,,,,,,15420069888.0,31.448850631713867,11838316.0,100.0
10,2012,2012-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.6688478000000001,57.621,0.0602792,23.0,,15.36,,,,,,,,,,17386481664.0,,10035314.0,100.0
11,2013,2013-01-01,Afghanistan,Central and Southern Asia,Least Developed,43.377,0.687931,47.227,0.029881,25.0,,16.86,,,,,,,,,,18360254464.0,,9250510.0,100.0
12,2014,2014-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.5737872,37.639,-0.0032792,26.0,,18.93,,,,,,,,,,18860486656.0,,9170309.0,100.0
13,2015,2015-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.5408558,43.51,-0.0440611,27.0,0.356,17.53,,0.0,,,,,,8.0,,19134212096.0,,9791093.0,100.0
14,2016,2016-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.4844198,163.103,-0.0123359,29.0,,19.92,,0.0,,,,,,,,19566704640.0,,9067598.0,100.0
15,2017,2017-01-01,Afghanistan,Central and Southern Asia,Least Developed,,0.4524778,93.59,0.0006477,30.0,,19.21,,0.0096,,,,,,,,20084635648.0,,9867969.0,100.0
16,2018,2018-01-01,Afghanistan,Central and Southern Asia,Least Developed,,,53.39,-0.0119489,31.0,,17.96,,0.09697,,,,,,,,20323487744.0,,10818048.0,
17,2019,2019-01-01,Afghanistan,Central and Southern Asia,Least Developed,,,119.44,0.0153564,32.0,0.353,18.51,,0.14795,,,,,,,,21118461952.0,,11081621.0,
